,date,cash,position,portfolio_value,close,volatility,signal
0,2010-03-15,100000.0,0,100000.0,0.55,0.021361182995901395,hold
1,2010-03-16,100000.0,0,100000.0,0.56,0.019882112855723718,hold
2,2010-03-17,100000.0,0,100000.0,0.56,0.019853605607161397,hold
3,2010-03-18,100000.0,0,100000.0,0.57,0.01975224846016432,hold
4,2010-03-19,100000.0,0,100000.0,0.56,0.020585944683884055,hold
5,2010-03-22,100000.0,0,100000.0,0.57,0.020585944683884055,hold
6,2010-03-23,100000.0,0,100000.0,0.58,0.01747399766768945,hold
7,2010-03-24,100000.0,0,100000.0,0.57,0.017557246140153915,hold
8,2010-03-25,100000.0,0,100000.0,0.57,0.015972870706071205,hold
9,2010-03-26,100000.0,0,100000.0,0.57,0.017153178924709623,hold
10,2010-03-29,100000.0,0,100000.0,0.58,0.015458603432004532,hold
11,2010-03-30,100000.0,0,100000.0,0.59,0.015341887335570669,hold
12,2010-03-31,100000.0,0,100000.0,0.58,0.01632724170590596,hold
13,2010-04-01,100000.0,0,100000.0,0.58,0.016304849474793232,hold
14,2010-04-05,100000.0,0,100000.0,0.59,0.014642451186135481,hold
15,2010-04-06,100000.0,0,100000.0,0.6,0.014537609178179632,hold
16,2010-04-07,100000.0,0,100000.0,0.6,0.014340242764416582,hold
17,2010-04-08,100000.0,0,100000.0,0.6,0.014894263279372828,hold
18,2010-04-09,100000.0,0,100000.0,0.61,0.016009134263984814,hold
19,2010-04-12,100000.0,0,100000.0,0.61,0.016009134263984814,hold
20,2010-04-13,100000.0,0,100000.0,0.62,0.016009134263984814,hold
21,2010-04-14,100000.0,0,100000.0,0.64,0.018610057249351383,hold
22,2010-04-15,100000.0,0,100000.0,0.65,0.01863481499741529,hold
23,2010-04-16,100000.0,0,100000.0,0.63,0.01915109988425056,hold
24,2010-04-19,100000.0,0,100000.0,0.63,0.020250856913043607,hold
25,2010-04-20,100000.0,0,100000.0,0.64,0.021074781069073213,hold
26,2010-04-21,67475.9461,50012,99983.7461,0.65,0.02008506442614945,buy
27,2010-04-22,67475.9461,50012,100483.8661,0.66,0.020610786239294875,hold
28,2010-04-23,67475.9461,50012,100983.98610000001,0.67,0.021371557810597092,hold
29,2010-04-26,67475.9461,50012,100483.8661,0.66,0.020678118175717432,hold
30,2010-04-27,98467.88238,0,98467.88238,0.62,0.023690541402922104,hold
31,2010-04-28,98467.88238,0,98467.88238,0.62,0.024846554033419066,hold
32,2010-04-29,98467.88238,0,98467.88238,0.65,0.025223974191704586,hold
33,2010-04-30,98467.88238,0,98467.88238,0.61,0.025470092472590487,hold
34,2010-05-03,98467.88238,0,98467.88238,0.64,0.025470092472590487,hold
35,2010-05-04,98467.88238,0,98467.88238,0.58,0.02768394056571923,hold
36,2010-05-05,98467.88238,0,98467.88238,0.57,0.029888443289458562,hold
37,2010-05-06,98467.88238,0,98467.88238,0.52,0.04023629920324653,hold
38,2010-05-07,98467.88238,0,98467.88238,0.48,0.039110916654582675,hold
39,2010-05-10,98467.88238,0,98467.88238,0.55,0.0490919176550629,hold
40,2010-05-11,98467.88238,0,98467.88238,0.55,0.0490919176550629,hold
41,2010-05-12,98467.88238,0,98467.88238,0.58,0.04844029959803708,hold
42,2010-05-13,98467.88238,0,98467.88238,0.55,0.048221500025273,hold
43,2010-05-14,98467.88238,0,98467.88238,0.52,0.0503268007308793,hold
44,2010-05-17,98467.88238,0,98467.88238,0.53,0.05010368585061827,sell
45,2010-05-18,98467.88238,0,98467.88238,0.51,0.0492667365021304,hold
