,date,cash,position,portfolio_value,close,volatility,ATR,rsi,signal
0,2010-04-27,69678.62689,48881,99984.84689,0.62,0.023690541402922104,0.021428571428571446,56.25,buy
1,2010-04-28,69678.62689,48881,99984.84689,0.62,0.024846554033419066,0.021428571428571446,56.25,buy
2,2010-04-29,82995.66503999999,28383,101444.61503999999,0.65,0.025223974191704586,0.023571428571428594,61.111111111111114,buy
3,2010-04-30,82995.66503999999,28383,100309.29504,0.61,0.025470092472590487,0.02642857142857145,50.0,buy
4,2010-05-03,90492.07496,16664,101157.03496,0.64,0.025470092472590487,0.027857142857142882,54.166666666666664,buy
5,2010-05-05,100152.3624,0,100152.3624,0.57,0.029888443289458562,0.032857142857142876,35.71428571428572,hold
6,2010-05-06,100152.3624,0,100152.3624,0.52,0.04023629920324653,0.04714285714285716,32.25806451612905,hold
7,2010-05-07,100152.3624,0,100152.3624,0.48,0.039110916654582675,0.05000000000000001,28.571428571428584,hold
8,2010-05-10,100152.3624,0,100152.3624,0.55,0.0490919176550629,0.05357142857142859,39.024390243902445,hold
9,2010-05-11,100152.3624,0,100152.3624,0.55,0.0490919176550629,0.05571428571428573,37.5,hold
10,2010-05-12,100152.3624,0,100152.3624,0.58,0.04844029959803708,0.055,40.47619047619047,hold
11,2010-05-13,100152.3624,0,100152.3624,0.55,0.048221500025273,0.05642857142857143,36.363636363636374,hold
12,2010-05-14,100152.3624,0,100152.3624,0.52,0.0503268007308793,0.05928571428571429,34.78260869565217,hold
13,2010-05-17,100152.3624,0,100152.3624,0.53,0.05010368585061827,0.05857142857142857,39.53488372093024,hold
14,2010-05-18,100152.3624,0,100152.3624,0.51,0.0492667365021304,0.060000000000000005,37.77777777777778,hold
15,2010-05-19,100152.3624,0,100152.3624,0.49,0.049318463827055965,0.05928571428571429,31.818181818181813,hold
16,2010-05-20,100152.3624,0,100152.3624,0.44,0.053118369881528134,0.06,31.111111111111114,hold
17,2010-05-21,100152.3624,0,100152.3624,0.45,0.051942058167546934,0.060714285714285714,27.906976744186053,hold
18,2010-05-24,100152.3624,0,100152.3624,0.45,0.05340526878706235,0.05714285714285713,32.432432432432435,hold
